Company,Sector,Stage,Amount,Location,About,Funding Year
Thecollegefever,Brand Marketing,Seed,250000.0,Bengaluru,TheCollegeFever is a hub for fun fiesta and frolic of Colleges,2018
Happy Cow Dairy,Agriculture,Seed,584000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra,2018
Myloancare,Credit,Series A,949000.0,Gurugram,Leading Online Loans Marketplace in India,2018
Payme India,Financial Services,Angel,2000000.0,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees,2018
Eunimart,E-Commerce Platforms,Seed,1300000.0,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally,2018
Hasura,Cloud Infrastructure,Seed,1600000.0,Bengaluru,Hasura is a platform that allows developers to build deploy and host cloudnative applications quickly,2018
Tripshelf,Internet,Seed,233600.0,Kalkaji,Tripshelf is an online market place for holiday packages,2018
Hyperdata.Io,Market Research,Angel,730000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence,2018
Freightwalla,Information Services,Seed,1300000.0,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations,2018
Microchip Payments,Mobile Payments,Seed,1300000.0,Bengaluru,Microchip payments is a mobilebased payment application and pointofsale device,2018
Bizcrum Infotech Pvt. Ltd.,B2B,Seed,1300000.0,New Delhi,Building Transactionary B2B Marketplaces,2018
Emojifi,Internet,Seed,1300000.0,Bengaluru,Emojifi is an app that provides live emoji stickers  GIFs suggestions based on the typed words across chat platforms,2018
Flock,Apps,Seed,1300000.0,India,Flock is a realtime messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity,2018
Freshboxx,Food Delivery,Seed,1300000.0,Hubli,Freshboxx is incubated at Sandbox Startups a unit of the Deshpande Foundation,2018
Wide Mobility Mechatronics,Industrial Automation,Seed,1300000.0,Bengaluru,Wide Mobility Mechatronics is a Private Company limited by Shares,2018
Pitstop,Automotive,Seed,1460000.0,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles,2018
Mihuru,Finance,Seed,150000.0,Mumbai,Mihuru is an online platform which gives micro loans for air travel ,2018
Fyle,Accounting,Seed,1100000.0,Bengaluru,Fyle is an intelligent expense management platform for enterprises,2018
Appwharf,Artificial Intelligence,Seed,1300000.0,New Delhi,Appwharf is an intelligent assistant that helps find you the bestfit SaaS for your business,2018
Antariksh Waste Ventures Pvt Ltd,Internet Of Things,Seed,7300.0,Chennai,Waste Management for Smart Cities,2018
Cogoport,Air Transportation,Series A,6000000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers,2018
Paisadukan,Financial Services,Seed,650000.0,Mumbai,A P2P lending marketplace platform,2018
Sleepy Owl Coffee,Food And Beverage,Seed,511000.0,New Delhi,Makers of a signature coffee thats exceptional in taste Its super easy to brew requires no equipment  ships to your door,2018
Bluejack,Autonomous Vehicles,Seed,934400.0,New Delhi,Delhibased online used vehicles marketplace,2018
Pregbuddy,Enterprise Software,Seed,1300000.0,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers,2018
Agnext Technologies,Agriculture,Series A,1300000.0,Mohali,AgNext is an agricultural sensing and solutions company focused on building datadriven solutions for agricultural stakeholders,2018
Pando,Logistics,Seed,2000000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies,2018
Mintifi,Financial Services,Seed,2000000.0,Mumbai,Online lending startup based in Mumbai,2018
Carcrew,Automotive,Seed,2000000.0,Mumbai,Indias Online Auto Repair Marketplace,2018
Nicheai,Artificial Intelligence,Angel,1300000.0,Hyderabad,Early stage Artificial Intelligence AI start up,2018
Chariot Tech,Internet Of Things,Seed,292000.0,New Delhi,Chariot Tech is an Internet of Things IoT startup based in New Delhi,2018
Ideal Insurance Brokers/ 121Policy.Com,Insurance,Seed,1000000.0,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain,2018
Loanzen,Financial Services,Seed,1300000.0,Bengaluru,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices,2018
Mojro Technologies,Information Technology,Seed,650000.0,Bengaluru,Mojro envisions to be the worlds largest technologyenabled logistics platform,2018
Elemential,Blockchain,Seed,1000000.0,Mumbai,Blockchain Development Platform To Design Run  Scale Blockchain Networks,2018
Loadshare,Industrial Automation,Series A,5000000.0,Bengaluru,LoadShare is Indias fastest growing logistics company,2018
Yumlane,Food And Beverage,Series A,4000000.0,Mumbai,Food startup Yumlane operated by QwikPik Technology,2018
Kriger Campus,Education,Seed,438000.0,New Delhi,A Education Start Up,2018
Pipa+Bella,E-Commerce,Series A,1000000.0,Mumbai,PipaBella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018
Kaleidofin,Financial Services,Seed,2800000.0,Chennai,A fintech platform,2018
Chakr Innovation,Renewable Energy,Seed,1300000.0,New Delhi,Chakr has developed the worlds first retrofit emission control device for diesel generators,2018
Indigolearn,E-Learning,Seed,150000.0,Hyderabad,Indias the premier education destination catering to the needs of aspiring students of the CA community,2018
Uclean,Clean Energy,Seed,584000.0,India,UClean is a tech enabled laundry service provider,2018
Coutloot,E-Commerce,Seed,1000000.0,Mumbai,The Fashion Recommerce platform,2018
Letstrack,Apps,Seed,1700000.0,New Delhi,Letstrack GPS tracking devices to track your kids bike car and other vehicles GPS trackers for Vehicle Tracking System in India,2018
Pooltoo,Transportation,Seed,1300000.0,New Delhi,Pooltoo offers a premium ride sharing platform,2018
Finzy,Financial Services,Seed,1300000.0,Bengaluru,finzy is the premier peer to peer lending solution in India,2018
Fitternity,Fitness,Seed,2000000.0,Mumbai,Indias largest online fitness platform that provides an integrated ecosystem to help users start  sustain their fitness journey,2018
Keito,Artificial Intelligence,Seed,1300000.0,Pune,Building an Intelligent Digital Assistant,2018
Tolet For Students,Hospitality,Seed,73000.0,Jodhpur,Reserve your Room Hostel or Paying Guest while relocating for higher education,2018
Chai Kings,Food And Beverage,Seed,292000.0,Chennai,Chai Kings is a tea retail chain,2018
Dainik Jagran,Media And Entertainment,Seed,584000.0,Kanpur,Dainik Jagran is a media and communications group,2018
Playtoome,Broadcasting,Seed,292000.0,Bengaluru,Playtoome is a live entertainment destination,2018
Ongo Framework,B2B,Angel,1000000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider,2018
Notesgen,Edtech,Seed,182500.0,New Delhi,A Global PeertoPeer and PeertoGroup Learning Platform that helps students supplement their academic  competitive exam prep,2018
Arogya Medtech,Health Care,Seed,219000.0,Kolkata,Arogya MedTech is a Research  Development organization in BioMedical industry,2018
Propshop24,E-Commerce,Seed,500000.0,Mumbai,Propshop24 a onestop shop for a handpicked selection of funtastic products from around the world,2018
Myupchar,Health Care,Series A,5000000.0,New Delhi,To bring health issues to people in their language,2018
Missmalini Entertainment,Media,Seed,1518400.0,Mumbai,MissMalini Entertainment is a multiplatform new media network dedicated to Entertaining Connecting  Empowering young Indians,2018
Rooter,Sports,Seed,657000.0,India,Rooter is a mobilebased platform,2018
Zestmoney,Big Data,Series A,13400000.0,Bengaluru,Zest is Indias first completely automated consumer digital lending platform,2018
Alphaics Corporation,Cloud Computing,Seed,1300000.0,Bengaluru,Advancing AI compute,2018
Mydentistchoice,Health Care,Seed,500000.0,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018
Sattviko,Food Processing,Angel,1300000.0,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty,2018
Sensibull,Trading Platform,Seed,365000.0,Bengaluru,Investment Management Platform,2018
Bombay Shaving Company,Consumer Goods,Series A,1300000.0,New Delhi,Bombay Shaving Company is a Mens grooming startup,2018
Medcords,Wellness,Seed,385440.0,Pune,Medcords is Indias first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018
University Living,Education,Seed,1300000.0,New Delhi,University Living is an online global student housing marketplace,2018
&Me,Food And Beverage,Seed,1300000.0,Bengaluru,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness,2018
Enakshi,Fashion,Seed,116800.0,Ahmedabad,Enakshi is an online apparel brand for women,2018
Ultraviolette Automotive,Automotive,Series A,876.0,Bengaluru,Ultraviolette is a startup working on electric twowheelers and energy infrastructure,2018
Inthree Access,Consulting,Series A,4000000.0,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India,2018
Bugworks Research India,Biotechnology,Series A,9000000.0,Bengaluru,BUGWORKS is a drug discovery company,2018
Guardian.In,Health Care,Seed,1300000.0,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the worlds largest company,2018
Prestloans,Credit,Seed,100000.0,New Delhi,PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy quick n hassle free loans,2018
Wimoxez,Internet,Seed,20000.0,Hyderabad,Data Intelligence Publishing Platform We bring the best resources to learn valuable technologies which will shape tomorrow,2018
India Accelerator,Communities,Angel,1300000.0,Gurugram,India Accelerator runs mentorshipdriven incubation and acceleration programs for start ups,2018
Happyemi,Consumer,Seed,1000000.0,Bengaluru,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases instore and online,2018
Wishup,Consumer Applications,Seed,1300000.0,Azadpur,Premium Personal Assistance service,2018
Hansel.Io,Mobile,Series A,4000000.0,Bengaluru,Hansel a mobile app management platform provides the infrastructure that companies need in order to personalize product experiences,2018
Propelld,Education,Seed,250000.0,Bengaluru,Propelld is a student education financing platform,2018
Pivotroots,Advertising,Series A,1300000.0,Mumbai,Digital Marketing powered by Data  Technology fueled by Design thinking,2018
Ziffyhomes,Marketplace,Seed,120000.0,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent,2018
Carmesi,Health Care,Seed,496400.0,Gurugram,Carmesi is a brand of highend menstrualhygiene products in India,2018
Ockypocky,E-Learning,Angel,1300000.0,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids,2018
Racetrack,Artificial Intelligence,Seed,4993200.0,Bengaluru,Racetrack is a sales and supportfocused AIdriven platform designed for education real estate and ecommerce sectors,2018
Whr,Health Care,Seed,143145.0,Pune,WHR is to make affordable healthcare a reality for all Our vision is to make healthcare services easier better and more accessible,2018
Asteria Aerospace,Aerospace,Seed,1300000.0,Bengaluru,Asteria Aerospace is a robotics and artificial intelligence company,2018
Faballey,E-Commerce,Series B,8760000.0,Noida,FabAlley is the ultimate Indian fashion destination for fashionforward indiechic girls Founded in 2012 Tanvi Malik and Shivani Poddar,2018
Tranzmeo,Artificial Intelligence,Pre-Seed,1300000.0,Cochin,Tranzmeo Connect  is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights,2018
Sbi Life,Insurance,Private Equity,742000000.0,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family,2018
Studds Accessories,E-Commerce,Private Equity,14600000.0,Faridabad,Studds Accessories is a scooter accessories service provider in India,2018
Design Cafe,Home Decor,Series B,29200000.0,Bengaluru,Design  Execution Organization that delivers beautiful  innovative designs for Home Interiors in any budget,2018
Nopaperforms Solutions Pvt. Ltd.,Edtech,Series B,3980000.0,New Delhi,NoPaperForms is a marketing automation lead nurture and enrolment management platform for educational institutions,2018
Rays Power Infra,Energy,Seed,29200000.0,Jaipur,Rays Power Infra is a leading integrated Solar Power Company,2018
Authmetrik,B2B,Grant,10000.0,Gurugram,SaaS B2B Security Stop account sharing Fraud Detection,2018
Khidki,Artificial Intelligence,Seed,1300000.0,Bengaluru,Vernacular Social Network Focused on Town Level Content and Interactions,2018
Letstransport,Logistics,Series B,14600000.0,Bengaluru,Lets transport is a logistics solution provider,2018
Next Digital Solutions,Digital Marketing,Angel,1460.0,Kota,Next Digital Solutions is website design  Digital Marketing development company,2018
Portea Medical,Health Care,Debt Financing,3650000.0,Bengaluru,Portea Medical is the largest and fastest growing provider of inhome medical care in India today with a 24city network,2018
Aavas Financiers,Finance,Post-IPO Debt,29200000.0,Jaipur,Aavas Financiers is engaged in the business of providing housing loans primarily in the unserved unreached and underserved market,2018
Swiggy,Food Delivery,Series H,1000000000.0,Bengaluru,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants,2018
Milkbasket,E-Commerce,Series A,7000000.0,Haryana,Milkbasket delivers milk bread eggs butter juices and other daily need items every morning right at your doorstep free of charge,2018
Nutrisattva (Proliva),Fitness,Angel,1300000.0,Anand,Nutrisattva is a protein innovation compan,2018
Toppr,Edtech,Series C,35000000.0,Mumbai,Topprcom is an online preparation platform for entrance exams in India,2018
Jagaran Microfin,Financial Services,Debt Financing,8030000.0,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018
Vivriti Capital,Financial Services,Seed,28500000.0,Chennai,Vivriti Capital is an online platform for institutional debt in India,2018
Be U Salons,Apps,Seed,438000.0,New Delhi,Be U is Indias first subscription based Salon Chain,2018
Impact Guru,Creative Agency,Series A,2000000.0,Mumbai,Were a Harvard incubated crowdfunding platform for nonprofits social enterprises startups and individuals,2018
Mobikwik,Consumer Lending,Series E,3504000.0,Gurugram,MobiKwik is a payments backed fintech platform in India MobiKwik App offers instant loans  investment products to the 500M masses of India,2018
Stones2Milestones,E-Learning,Seed,1300000.0,Gurugram,Stones2milestones is a Gurgaon Based Learning Company,2018
Generico,Health Care,Series A,1300000.0,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines,2018
Adiuvo Diagnostics,Health Diagnostics,Seed,1300000.0,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India,2018
Datatrained,Edtech,Seed,1752000.0,Bengaluru,DataTrained is a educational platform which operates an edtech startup on data science,2018
Oneassist,Financial Services,Debt Financing,2400000.0,Mumbai,OneAssist is a protection  assistance services platform,2018
Satin Creditcare Network Limited (Scnl),Banking,Post-IPO Debt,30000000.0,New Delhi,Satin is a nonbanking finance company providing individual loans to urban shopkeepers,2018
Apac Financial Services,Finance,Private Equity,36500000.0,Mumbai,APAC Financial Services is a financial services platform,2018
Moglix,B2B,Series C,23000000.0,Noida,Moglix is a supplier of industrial tools like hand tools power tools electrical and safety equipment,2018
Sedemac Mechatronics,Automotive,Seed,1300000.0,Mumbai,SEDEMAC Mechatronics is technology company that distributes controlintensive products for automobiles,2018
Madguy Labs,E-Learning,Seed,150000.0,Hyderabad,MadGuy Labs is a Online Testprep Platform,2018
Dee Dee Labs,Embedded Systems,Seed,1300000.0,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses,2018
Fleeca,Automotive,Seed,1300000.0,Jaipur,FLEECA is a Tyre Care Provider company,2018
Shop101,Apps,Series B,11000000.0,Mumbai,1 Online Selling App Indias leading social commerce platform Setup free online store in 2 min Sell own goods or resell Shop101 Supply,2018
Feedmypockets,Advertising,Seed,642400.0,Bengaluru,On Demand Staffing Platform,2018
Housejoy,Beauty,Series B,3240000.0,Bengaluru,Housejoy is a webbased platform that allows individuals to browse and book service providers for their homes,2018
Ambee,Health Care,Angel,1300000.0,Bengaluru,Ambee is an Environment analytics startup,2018
Foodbuddy,Food Delivery,Seed,876000.0,Belgaum,FoodBuddy is a online food delivery portal providing boundary breaking delivery,2018
Ninjacart,Agtech,Series B,36500000.0,Bengaluru,Ninjacart is a B2B agrimarketing platform that connects vegetables and fruits farmers directly with businesses,2018
Olly Smart Credit Card,Credit Cards,Seed,1300000.0,New Delhi,Olly is a digital credit card for Indias working masses and young people,2018
Zestl,Software,Seed,1300000.0,Pune,NoCode Workflow Automation Build enterprise applications in days with AI Cognitive Automation Collaboration and more built in,2018
Byju’S,Edtech,Private Equity,540000000.0,Bengaluru,BYJUs is an edtech company that is reinventing how students learn through its learning app,2018
Wakefit,Manufacturing,Seed,9490000.0,Bengaluru,Wakefitkart is a mattress manufacturing company We manufacture the best quality mattresses at affordable prices,2018
Hero Electric,Manufacturing,Seed,23360000.0,New Delhi,Hero Electric a 100 subsidiary of the Hero Group is a pioneer in the Indian Electric Vehicle Industry,2018
Pentation Analytics,Information Services,Seed,1300000.0,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite an Insurance specific AIML Software Suite,2018
Perkfinance,Consumer Lending,Seed,900000.0,Bengaluru,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018
Roposo,Internet,Series C,10000000.0,Gurugram,Roposo  TV by the People is a unique social media platform where people express visually with homemade videos and photos,2018
Plum Goodness,Beauty,Series A,1300000.0,Thane,Plum Haircare Is SiliconeFree  SulphateFree Designed For Damaged  DandruffFree Hair,2018
Drstore,Hospital,Seed,1300000.0,Mumbai,Drstore is a exclusive e commerce platform,2018
Wow Venue,Events,Seed,1500000.0,Mumbai,Wow Venue is an online platform,2018
Chizel,3D Printing,Seed,1300000.0,Pune,Chizel is a worlds most advanced cloud platform for ondemand manufacturing in 3D Printing and CNC Machining,2018
Oto Capital,Automotive,Seed,730000.0,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever,2018
Boodmo,Automotive,Seed,1022000.0,Gurugram,boodmocom  large online marketplace for auto parts in India,2018
Khabri,Apps,Seed,1300000.0,Haryana,Khabri is a digital audio platform for content in vernacular,2018
Mynewcar.In,Automotive,Seed,1000000.0,Gurugram,MyNewCarin offers new cars at best price with great deals Book a new car online or request a doorstep test drive,2018
Halaplay Technologies,Digital Entertainment,Series A,5000000.0,Bengaluru,A daily fantasy sports platform,2018
Planetspark,E-Learning,Seed,233600.0,Gurugram,PlanetSpark is an afterschool Maths and English learning program for pre teen kids between Grades 2nd to 7th,2018
Wheelsemi,Financial Services,Series B,14000000.0,Pune,WheelsEMI is the brand name of NBFC WheelsEMI Pvt Ltd,2018
Forum For Innovation Incubation Research And Entrepreneurship,Funding Platform,Grant,1496500.0,Margão,FiiRE a technology business incubator helps the startup process to move from the garage to the lab,2018
Oyo,Hospitality,Series E,100000000.0,Gurugram,OYO is an Indian hospitality startup that operates a network of budget hotels,2018
Quikr,Classifieds,Debt Financing,8030000.0,Bengaluru,Quikr is a free classifieds and online marketplace that helps users sell buy rent or discover anything across India,2018
Tabono,Sports,Seed,1300000.0,Gurugram,Tabono is a one stop environment for all your fitness solution,2018
Learnapp,Banking,Seed,292000.0,Noida,Learnappco  Video courses  live classes in investing trading banking and finance,2018
Shopkirana,E-Commerce,Seed,2000000.0,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation,2018
Fric Bergen,Food,Seed,1300000.0,Alwar,Fric Bergen is a leader in the specialty food industry,2018
Articbot,Artificial Intelligence,Grant,17520.0,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,2018
Buildsupply,Enterprise Resource Planning (Erp),Series A,3650000.0,Gurugram,Indias most advanced ERP system for the real estate,2018
Fusion Microfinance,Banking,Series E,75920000.0,New Delhi,Fusion Microfinance Pvt Ltd is an NBFC registered with RBI,2018
Any Time Doctor,Software,Angel,1300000.0,Chennai,Anytime Doctor is a Software company,2018
Go Payments,Information Services,Corporate Round,1300000.0,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep,2018
Guiddoo World,Audio,Seed,800000.0,Mumbai,We build InDestination Experiences,2018
Ion Energy,Energy,Seed,1041000.0,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems,2018
Unotag,Artificial Intelligence,Pre-Seed,100000.0,Bengaluru,SaaS to verify counterfeit,2018
Civilcops,Government,Pre-Seed,100000.0,Gurugram,GovTech,2018
Rockmetric,Information Technology,Grant,1300000.0,Mumbai,Smarter analytics to understand how each customer uses your product Drive growth in conversion retention and engagement,2018
Classworks India,Education,Seed,1460.0,Chennai,Saas Web App Mobile App School Education,2018
Snapmint,Consumer Lending,Seed,1300000.0,Mumbai,Snapmint facilitates simplified fairlypriced and hasslefree EMI options without a Credit Card,2018
Artbandhu,Digital Media,Pre-Seed,15000.0,Bengaluru,Ai platform for Art and Creative Community,2018
Survaider,Business Intelligence,Seed,500000.0,Bengaluru,Stethoscope for customer feedback ,2018
Credy,Credit,Seed,1400000.0,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns,2018
Ichamp,E-Learning,Seed,5000000.0,Gurugram,iChamp is an e education innovation product from RNM EServices Pvt Ltd,2018
Qandle,Software,Seed,1200000.0,Gurugram,A cloudbased HR management and employee engagement platform,2018
Avishkaar Box,Children,Seed,730000.0,New Delhi,Avishkaar Box is just not another box full of material rather it is a well researched thought through solution,2018
Gegadyne Energy,Automotive,Angel,1300000.0,Mumbai,A Mumbaibased startup Electric Vehicle EV  Energy Storage company,2018
Hyperxchange,E-Commerce,Series A,1000000.0,Pune,hyperXchange is Indias fastest growing O2O marketplace for premium refurb gadgets,2018
Deftouch,Gaming,Seed,1300000.0,Bengaluru,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game,2018
